form,freq
man˨˩˦,1
mɑŋ˧˥,1
meɪ˧˥,1
meɪ˨˩˦,1
meɪ˨˩˦,1
mən˧,1
mən˧˥,1
mɤŋ˥˩,1
mɤŋ˧˥,1
mi˥˩,1
mi˨˩˦,1
mɪŋ˥˩,1
mɪŋ˧˥,1
mɪŋ˧˥,1
mɪŋ˧˥,1
mɪŋ˧˥,1
mɪŋ˧˥,1
mjɛn˥˩,1
mɔ˥˩,1
mɔ˧,1
mu˥˩,1
mu˨˩˦,1
mu˨˩˦,1
na˥˩,1
na˥˩,1
na˧˥,1
na˨˩˦,1
nan˧˥,1
nan˧˥,1
nan˧˥,1
nɑʊ˨˩˦,1
neɪ˥˩,1
nɤ˧,1
nɤŋ˧˥,1
ni˥˥,1
ni˧˥,1
ni˨˩˦,1
ni˨˩˦,1
ni˨˩˦,1
nɪn˧˥,1
njɛn˧˥,1
nu˨˩˦,1
nuɔ˥˩,1
nuɔ˧˥,1
nʊŋ˥˩,1
ny˨˩˦,1
ny˨˩˦,1
ny˨˩˦,1
ny˨˩˦,1
oʊ˥˥,1
ɔ˥˥,1
ɔ˥˥,1
pa˥˥,1
pa˥˩,1
pa˥˩,1
pa˧,1
pa˨˩˦,1
paɪ˥˩,1
paɪ˧˥,1
pan˥˥,1
pan˥˩,1
pan˥˩,1
pɑŋ˥˥,1
pɑŋ˥˩,1
pɑʊ˥˥,1
pɑʊ˥˩,1
pɑʊ˥˩,1
pɑʊ˨˩˦,1
pɑʊ˨˩˦,1
peɪ˥˥,1
peɪ˥˩,1
peɪ˥˩,1
peɪ˥˩,1
pən˨˩˦,1
pʰa˥˩,1
pʰa˥˩,1
pʰaɪ˥˥,1
pʰaɪ˥˩,1
pʰɑʊ˨˩˦,1
pʰɤŋ˥˩,1
pʰɤŋ˧˥,1
pʰi˧˥,1
pʰjɑʊ˥˩,1
pʰjɛn˥˩,1
pʰɔ˥˩,1
pʰu˨˩˦,1
pi˥˩,1
pi˥˩,1
pi˨˩˦,1
pɪŋ˥˩,1
pjɑʊ˥˥,1
pjɑʊ˥˥,1
pjɑʊ˨˩˦,1
pjɛ˧˥,1
pjɛn˥˥,1
pjɛn˥˩,1
pjɛn˥˩,1
pɔ˥˥,1
pɔ˧˥,1
pɔ˧˥,1
pu˥˩,1
pu˥˩,1
pu˥˩,1
pu˥˩,1
pu˥˩,1
pu˥˩,1
pu˥˩,1
sa˥˩,1
saɪ˥˥,1
saɪ˥˩,1
san˥˥,1
sɑŋ˨˩˦,1
sən˥˥,1
sɤ˥˩,1
su˥˩,1
suɔ˨˩˦,1
suɔ˨˩˦,1
suɔ˨˩˦,1
suɔ˨˩˦,1
suɔ˨˩˦,1
sɯ˥˥,1
sɯ˥˥,1
sɯ˥˥,1
sɯ˥˩,1
sɯ˨˩˦,1
sɯ˨˩˦,1
sʊŋ˥˥,1
sʊŋ˥˩,1
swan˥˩,1
sweɪ˥˩,1
sweɪ˧˥,1
ʂa˥˥,1
ʂa˥˥,1
ʂa˥˥,1
ʂa˥˩,1
ʂan˥˥,1
ʂɑŋ˥˥,1
ʂɑŋ˥˩,1
ʂɑŋ˥˩,1
ʂɑʊ˨˩˦,1
ʂeɪ˧˥,1
ʂən˥˥,1
ʂən˥˥,1
ʂən˥˥,1
ʂən˧˥,1
ʂɚ˥˥,1
ʂɚ˥˥,1
ʂɚ˥˥,1
ʂɚ˥˩,1
ʂɚ˥˩,1
ʂɚ˥˩,1
ʂɚ˥˩,1
ʂɚ˥˩,1
ʂɚ˥˩,1
ʂɚ˥˩,1
ʂɚ˥˩,1
ʂɚ˥˩,1
ʂɚ˥˩,1
ʂɚ˥˩,1
ʂɚ˥˩,1
ʂɚ˥˩,1
ʂɚ˥˩,1
ʂɚ˥˩,1
ʂɚ˧˥,1
ʂɚ˧˥,1
ʂɚ˧˥,1
ʂɚ˧˥,1
ʂɚ˨˩˦,1
ʂɚ˨˩˦,1
ʂɚ˨˩˦,1
ʂɤ˥˩,1
ʂɤŋ˥˥,1
ʂɤŋ˥˥,1
