word,freq,english,german,sound,spell
ɡaʁtn,1,0,1,1,0
ɡeːbm,1,0,1,1,0
ɡeːen,1,0,1,1,0
ɡaːp,1,0,1,1,0
ɡaɛst,1,0,1,1,0
ɡants,1,0,1,1,0
ɡebʁaxt,1,0,1,1,0
ɡəʃɪçte,1,0,1,1,0
ɡetʁɛŋk,1,0,1,1,0
ɡeveːzn,1,0,1,1,0
ɡezamt,1,0,1,1,0
ɡəzɛts,1,0,1,1,0
ɡɛlp,1,0,1,1,0
ɡɛlt,1,0,1,1,0
ɡɪŋ,1,0,1,1,0
ɡlaɛçzɛtsn,1,0,1,1,0
ɡlaɔbm,1,0,1,1,0
ɡlɔke,1,0,1,1,0
ɡlants,1,0,1,1,0
ɡʁøːse,1,0,1,1,0
ɡʁaːs,1,0,1,1,0
ɡʁaːt,1,0,1,1,0
ɡʁoːs,1,0,1,1,0
ɡʁʊnt,1,0,1,1,0
ɡʁyːn,1,0,1,1,0
hate,1,0,1,1,0
hɛlfte,1,0,1,1,0
hɔfn,1,0,1,1,0
hyːɡl,1,0,1,1,0
haɛs,1,0,1,1,0
haɔpt,1,0,1,1,0
haɔt,1,0,1,1,0
hat,1,0,1,1,0
hɛʁts,1,0,1,1,0
hiːɐ,1,0,1,1,0
hoːx,1,0,1,1,0
hɔlts,1,0,1,1,0
hʊnt,1,0,1,1,0
ideː,1,0,1,1,0
ɪm,1,0,1,1,0
ɪn,1,0,1,1,0
ɪndʊstʁiː,1,0,1,1,0
ɪnsbezɔndeʁe,1,0,1,1,0
ɪst,1,0,1,1,0
ʝaː,1,0,1,1,0
ʝaːʁ,1,0,1,1,0
ʝaːʁhʊndɐt,1,0,1,1,0
ʝeː,1,0,1,1,0
ʝʊŋ,1,0,1,1,0
kaʁte,1,0,1,1,0
kastn,1,0,1,1,0
kœnen,1,0,1,1,0
kɔmen,1,0,1,1,0
kɔstnloːs,1,0,1,1,0
kuːɡl,1,0,1,1,0
kaʁaktɐ,1,0,1,1,0
